Gen=269,Mean=-105.09429999999999,StdDev=48.371915245419004,Best=-59.34
Gen=270,Mean=-125.82979999999999,StdDev=64.47256221029222,Best=-61.58
Gen=271,Mean=-111.13930000000003,StdDev=53.260342981528,Best=-55.96
Gen=272,Mean=-83.52259999999998,StdDev=39.91621408951505,Best=-43.51
Gen=273,Mean=-126.20270000000002,StdDev=64.05454871989966,Best=-56.94
Gen=274,Mean=-127.91699999999999,StdDev=57.36628013912006,Best=-65.67
Gen=275,Mean=-105.33639999999997,StdDev=49.17679811699822,Best=-57.04
Gen=276,Mean=-116.82549999999998,StdDev=52.864893934916765,Best=-67.06
Gen=277,Mean=-79.62720000000003,StdDev=32.49217432182711,Best=-42.38
Gen=278,Mean=-110.28570000000005,StdDev=50.41805468787942,Best=-54.37
Gen=279,Mean=-110.96089999999998,StdDev=48.91689454769181,Best=-57.57
Gen=280,Mean=-98.6454,StdDev=38.38851993552238,Best=-49.92
Gen=281,Mean=-109.50049999999996,StdDev=53.042052248664,Best=-62.69
Gen=282,Mean=-82.76570000000001,StdDev=31.598887615072783,Best=-48.67
Gen=283,Mean=-82.26780000000002,StdDev=41.31643720312776,Best=-36.99
Gen=284,Mean=-123.90560000000004,StdDev=58.799127515975954,Best=-65.11
Gen=285,Mean=-117.66300000000003,StdDev=55.05537115486555,Best=-62.88
Gen=286,Mean=-114.73749999999998,StdDev=55.99222416327109,Best=-59.76
Gen=287,Mean=-102.65920000000001,StdDev=44.30390995566869,Best=-60.34
Gen=288,Mean=-114.05030000000001,StdDev=51.77942777696563,Best=-52.3
Gen=289,Mean=-108.67689999999997,StdDev=50.12281380160135,Best=-65.82
Gen=289,Mean=-113.44479999999996,StdDev=47.23241095857802,Best=-56.7
Gen=290,Mean=-117.52519999999998,StdDev=58.35163770589476,Best=-62.28
Gen=291,Mean=-118.75689999999999,StdDev=59.68906706751247,Best=-63.01
Gen=292,Mean=-111.69529999999997,StdDev=57.44713589823257,Best=-54.3
Gen=293,Mean=-117.12679999999999,StdDev=52.87025121710696,Best=-62.12
Gen=294,Mean=-102.8831,StdDev=43.59477596444327,Best=-58.17
Gen=295,Mean=-106.12010000000001,StdDev=48.39411421846669,Best=-55.16
Gen=296,Mean=-101.89070000000001,StdDev=40.07298983742042,Best=-64.99
Gen=297,Mean=-103.72279999999999,StdDev=53.521611412213666,Best=-49.64
Gen=298,Mean=-108.20960000000002,StdDev=43.1208360290011,Best=-57.82
Gen=299,Mean=-112.61640000000003,StdDev=57.78521874182012,Best=-61.4
Gen=300,Mean=-116.57439999999998,StdDev=52.32923745517414,Best=-59.08
Gen=301,Mean=-82.34459999999999,StdDev=39.582303809151895,Best=-44.0
Gen=302,Mean=-132.63710000000003,StdDev=65.7551634671377,Best=-63.26
Gen=303,Mean=-90.96119999999995,StdDev=46.40809533432717,Best=-45.93
Gen=304,Mean=-108.04529999999998,StdDev=42.57528774899823,Best=-58.18
Gen=305,Mean=-107.88150000000003,StdDev=54.00155678080033,Best=-58.31
Gen=306,Mean=-115.12860000000005,StdDev=48.711724913412795,Best=-56.8
Gen=307,Mean=-123.11880000000001,StdDev=56.86360138577225,Best=-65.24
Gen=308,Mean=-106.52380000000002,StdDev=51.953974992872304,Best=-54.93
Gen=309,Mean=-95.09169999999999,StdDev=34.90391072802588,Best=-50.14
Gen=310,Mean=-114.0109,StdDev=54.21154718498635,Best=-62.89
Gen=311,Mean=-104.75500000000004,StdDev=47.97278360695782,Best=-61.52
Gen=312,Mean=-99.10589999999998,StdDev=41.40158878823371,Best=-64.38
Gen=313,Mean=-84.55370000000002,StdDev=39.620247870375565,Best=-41.73
Gen=314,Mean=-114.20000000000002,StdDev=53.70402897362543,Best=-55.78
Gen=315,Mean=-111.34830000000004,StdDev=56.14149392481464,Best=-59.87
Gen=316,Mean=-97.27120000000002,StdDev=46.42829851028358,Best=-50.58
Gen=317,Mean=-84.61160000000001,StdDev=36.31826542443898,Best=-39.78
Gen=318,Mean=-111.04439999999998,StdDev=52.9194911411665,Best=-59.02
Gen=319,Mean=-84.66539999999993,StdDev=37.670763900404246,Best=-46.07
Gen=320,Mean=-96.72729999999997,StdDev=40.1619655359396,Best=-54.65
Gen=321,Mean=-104.3029,StdDev=46.19111897962636,Best=-55.95
Gen=322,Mean=-108.70519999999999,StdDev=45.307523712513806,Best=-63.13
Gen=323,Mean=-117.15729999999994,StdDev=58.08961731419824,Best=-61.25
Gen=324,Mean=-117.52390000000005,StdDev=60.08228169593762,Best=-65.0
Gen=325,Mean=-118.91959999999996,StdDev=55.250845639139314,Best=-66.4
Gen=326,Mean=-96.70380000000002,StdDev=39.293607006229394,Best=-60.47
Gen=327,Mean=-105.29979999999995,StdDev=49.24963666830447,Best=-52.54
Gen=328,Mean=-85.84450000000001,StdDev=36.81773410667745,Best=-48.32
Gen=329,Mean=-112.30030000000001,StdDev=47.016037379919624,Best=-68.77
Gen=330,Mean=-80.97489999999999,StdDev=41.15659593540263,Best=-40.83
Gen=331,Mean=-95.71409999999997,StdDev=44.17448148184651,Best=-49.13
Gen=332,Mean=-116.4966,StdDev=51.71930757889167,Best=-55.99
Gen=333,Mean=-135.55719999999997,StdDev=75.83725539706722,Best=-60.33
Gen=334,Mean=-95.41239999999996,StdDev=42.502694152724004,Best=-49.59
Gen=335,Mean=-123.52599999999993,StdDev=70.8101884335863,Best=-61.47
Gen=336,Mean=-106.69960000000003,StdDev=48.29461044298836,Best=-55.06
Gen=337,Mean=-116.46799999999999,StdDev=50.96492951039961,Best=-61.34
Gen=338,Mean=-114.2919,StdDev=51.833435400231764,Best=-52.51
Gen=339,Mean=-116.5572,StdDev=48.883923309816275,Best=-64.98
Gen=340,Mean=-112.38329999999995,StdDev=53.9026876520086,Best=-56.38
Gen=341,Mean=-118.778,StdDev=63.47230950579946,Best=-56.19
Gen=342,Mean=-114.55799999999999,StdDev=45.40881343968371,Best=-66.01
Gen=343,Mean=-116.49630000000008,StdDev=56.69370045525339,Best=-59.88
Gen=344,Mean=-108.00629999999997,StdDev=50.10566454314323,Best=-56.14
Gen=345,Mean=-118.93300000000004,StdDev=59.45375196739059,Best=-56.17
Gen=346,Mean=-119.8902,StdDev=59.677411622489124,Best=-64.04
Gen=347,Mean=-118.41889999999995,StdDev=57.67892446804119,Best=-65.66
