Gen=171,Mean=-123.32075267442283,StdDev=53.94719047192217,Best=-72.75225082428722
Gen=172,Mean=-141.0314003213349,StdDev=64.45075114692916,Best=-60.72553005120663
Gen=173,Mean=-98.17036158478518,StdDev=43.27977363980241,Best=-55.58677900364438
Gen=174,Mean=-132.84399972209454,StdDev=60.60368501862031,Best=-66.70607168766573
Gen=175,Mean=-141.01592107633172,StdDev=60.253556766333546,Best=-73.8739466929986
Gen=176,Mean=-135.2126430671894,StdDev=67.53872411279951,Best=-71.1217266382081
Gen=177,Mean=-144.88766960305225,StdDev=65.41885735013095,Best=-70.69695891620799
Gen=178,Mean=-152.63688437535592,StdDev=56.81378290682856,Best=-73.32455250460107
Gen=179,Mean=-161.22718453202322,StdDev=73.36823473327459,Best=-72.20858674700676
Gen=180,Mean=-161.9797945740275,StdDev=76.56739286247027,Best=-75.2317087403975
Gen=181,Mean=-163.43322476127716,StdDev=73.80710971261419,Best=-79.35407992031664
Gen=182,Mean=-115.42531288401466,StdDev=45.76749988394949,Best=-60.89096813157104
Gen=183,Mean=-146.22015823415413,StdDev=56.80020973534294,Best=-69.13812262420784
Gen=184,Mean=-121.7211532806115,StdDev=56.961966644752415,Best=-58.47093294962891
Gen=185,Mean=-129.82252482182705,StdDev=52.66986091576569,Best=-71.83112138899128
Gen=186,Mean=-151.43567145111862,StdDev=61.76547993943569,Best=-79.13425301347073
Gen=187,Mean=-160.78908175724015,StdDev=66.61718762949646,Best=-77.35534887776022
Gen=188,Mean=-154.57316547537678,StdDev=60.71409321501728,Best=-68.37148528443711
Gen=189,Mean=-181.24660012711954,StdDev=72.73493618860222,Best=-85.59678732288964
Gen=190,Mean=-152.18677547576692,StdDev=64.54188229582786,Best=-81.39441012747743
Gen=191,Mean=-127.57605209010552,StdDev=48.47638221962008,Best=-71.05891921497259
Gen=192,Mean=-154.78018736635423,StdDev=61.01069085690045,Best=-80.54861885842612
Gen=193,Mean=-112.36368153859294,StdDev=46.70833299416359,Best=-64.00648404654017
Gen=194,Mean=-145.56963325898485,StdDev=56.669064513583095,Best=-85.19618536061341
